Date,Open,High,Low,Close,Volume
2001-06-01,10913.57,11021.57,10835.62,10990.9,200185200
2001-06-04,10991.77,11071.54,10938.88,11060.8,153979200
2001-06-05,11061.39,11196.4,11043.5,11175.8,215964608
2001-06-06,11177.73,11179.68,11059.9,11070.2,237231600
2001-06-07,11069.58,11100.04,11008.95,11094.2,236089200
2001-06-08,11095.62,11095.88,10938.08,10977,179540400
2001-06-11,10974.79,10975.44,10871.34,10922,166004992
2001-06-12,10821.83,10982.08,10804.26,10948.3,239108400
2001-06-13,10942,11004.33,10867.6,10871.6,199726208
2001-06-14,10868.27,10868.33,10659.6,10690.1,315832800
2001-06-15,10680.81,10716.23,10566.61,10623.5,386886016
2001-06-18,10622.5,10709.05,10614.79,10645.3,200154592
2001-06-19,10654.3,10740.32,10564.13,10596.6,245055008
2001-06-20,10593.79,10701.27,10563.86,10647.3,249022800
2001-06-21,10646.39,10759.47,10597.61,10715.4,271921792
2001-06-22,10716.5,10724.35,10574.19,10605.2,214567200
2001-06-25,10607.88,10644.11,10468.12,10505.02,204000000
2001-06-26,10497.3,10534.21,10394.72,10472.48,240668992
2001-06-27,10470.35,10531.19,10408,10434.84,214771200
2001-06-28,10438.73,10646.45,10438.66,10566.21,278276416
2001-06-29,10565.27,10605.59,10491.6,10502.4,335049600
2001-07-02,10504.95,10638.87,10467.38,10593.72,220146592
2001-07-03,10588.89,10595.13,10531.52,10571.11,131070000
2001-07-05,10566.23,10567.64,10461.14,10479.86,182773792
2001-07-06,10476.73,10476.73,10220.14,10252.68,211690800
2001-07-09,10253.62,10323.11,10222.24,10299.4,220615808
2001-07-10,10300.82,10335.63,10162.71,10175.64,270269408
2001-07-11,10174.7,10274.02,10120.89,10241.02,272717408
2001-07-12,10269.31,10496.64,10269.31,10478.99,283753792
2001-07-13,10478.39,10549.76,10432.6,10539.06,204397792
