Date,Open,High,Low,Close,Volume
1999-12-07,1423.33,1426.81,1409.17,1409.17,169656256
1999-12-08,1409.17,1415.66,1403.88,1403.88,149531248
1999-12-09,1403.88,1418.46,1391.5,1408.11,175328128
1999-12-10,1408.11,1421.58,1405.65,1417.04,154250000
1999-12-13,1417.04,1421.58,1410.23,1415.22,152750000
1999-12-14,1415.22,1418.3,1401.59,1403.17,160593744
1999-12-15,1403.17,1417.4,1395.93,1413.33,161546880
1999-12-16,1413.32,1423.11,1408.35,1418.78,167234368
1999-12-17,1418.78,1431.13,1418.78,1421.05,210906256
1999-12-20,1421.03,1429.21,1410.97,1418.09,141343744
1999-12-21,1418.09,1436.45,1414.87,1433.43,150546880
1999-12-22,1433.43,1440.02,1429.05,1435.99,132812496
1999-12-23,1436.13,1461.44,1436.13,1458.34,113843752
1999-12-27,1458.34,1463.14,1450.73,1457.09,112906248
1999-12-28,1457.09,1462.68,1452.74,1457.66,102406248
1999-12-29,1457.66,1467.47,1457.66,1463.46,88728128
1999-12-30,1463.46,1473.13,1462.6,1464.47,86668752
1999-12-31,1464.47,1472.42,1458.19,1469.25,58445312
2000-01-03,1464.47,1478,1438.36,1455.17,145593744
2000-01-04,1449,1449,1397.43,1399.42,157656256
2000-01-05,1399.42,1413.27,1377.68,1402.11,169609376
2000-01-06,1402.11,1411.9,1392.02,1403.45,170671872
2000-01-07,1403.45,1441.47,1400.73,1441.47,191437504
2000-01-10,1441.47,1464.36,1441.47,1457.6,166375008
2000-01-11,1457.6,1458.66,1434.42,1438.56,158437504
2000-01-12,1438.56,1442.6,1427.08,1432.25,152281248
2000-01-13,1432.25,1454.2,1432.25,1449.68,161000000
2000-01-14,1449.68,1473,1449.68,1465.15,169671872
2000-01-18,1465.15,1465.15,1451.3,1455.14,165109376
2000-01-19,1455.14,1461.39,1448.68,1455.9,169968752
2000-01-20,1455.9,1465.71,1438.54,1445.57,171984368
2000-01-21,1445.57,1452.73,1439.6,1441.36,189031248
2000-01-24,1447.11,1454.09,1395.42,1401.53,174343744
2000-01-25,1401.53,1414.26,1388.49,1410.03,167765632
2000-01-26,1410.03,1412.73,1400.16,1404.09,174578128
2000-01-27,1404.09,1418.86,1380.87,1398.56,176484368
2000-01-28,1397.72,1397.73,1356.2,1360.16,171218752
2000-01-31,1360.16,1394.5,1350.05,1394.46,155281248
2000-02-01,1394.46,1412.49,1384.79,1409.28,153281248
2000-02-02,1409.28,1420.61,1403.49,1409.12,162281248
2000-02-03,1409.12,1425.78,1398.52,1424.97,179140624
2000-02-04,1424.97,1435.91,1420.63,1424.37,163296880
2000-02-07,1424.37,1427.15,1413.33,1423,143453120
2000-02-08,1424.24,1441.83,1424.24,1441.75,163703120
2000-02-09,1441.72,1444.55,1411.65,1411.71,164140624
2000-02-10,1411.7,1422.1,1406.43,1416.83,165437504
2000-02-11,1416.83,1416.83,1378.89,1387.12,160265632
2000-02-14,1387.12,1394.79,1380.53,1389.94,144890624
2000-02-15,1389.94,1407.72,1376.25,1402.05,170640624
2000-02-16,1402.05,1404.55,1385.58,1387.67,159187504
2000-02-17,1387.67,1399.88,1380.07,1388.25,161687504
2000-02-18,1388.26,1388.59,1345.32,1346.09,162859376
2000-02-22,1346.09,1358.11,1331.88,1352.17,153124992
2000-02-23,1352.17,1370.11,1342.44,1360.69,155265632
2000-02-24,1360.69,1364.8,1329.88,1353.43,189843744
2000-02-25,1353.43,1362.14,1329.15,1333.36,166437504
2000-02-28,1333.36,1360.82,1325.02,1348.05,160390624
2000-02-29,1348.05,1369.63,1348.05,1366.42,188171872
2000-03-01,1366.42,1383.46,1366.42,1379.19,199078128
2000-03-02,1379.19,1386.56,1370.35,1381.76,187281248
2000-03-03,1381.76,1410.77,1381.76,1409.17,179734368
2000-03-06,1409.17,1409.74,1384.75,1391.28,160781248
2000-03-07,1391.28,1399.21,1349.99,1355.62,205328128
2000-03-08,1355.62,1373.79,1346.62,1366.7,187968752
2000-03-09,1366.7,1401.82,1357.59,1401.69,175468752
2000-03-10,1401.69,1413.45,1392.07,1395.07,177937504
2000-03-13,1395.07,1398.39,1364.84,1383.62,158765632
2000-03-14,1383.62,1395.38,1359.15,1359.15,170937504
2000-03-15,1359.15,1397.99,1356.99,1392.14,203562496
2000-03-16,1395.13,1458.47,1394.9,1458.47,231609376
2000-03-17,1458.47,1477.33,1453.27,1464.47,202359376
2000-03-20,1464.47,1470.74,1448.43,1456.63,143875008
2000-03-21,1456.63,1493.92,1446.06,1493.87,166546880
2000-03-22,1493.87,1505.08,1487.33,1500.64,167968752
2000-03-23,1500.64,1532.5,1492.39,1527.35,168484368
2000-03-24,1527.35,1552.87,1516.83,1527.46,164406256
2000-03-27,1527.46,1533.81,1518.46,1523.86,140781248
2000-03-28,1523.86,1527.36,1507.09,1507.73,149859376
2000-03-29,1521.45,1521.45,1497.45,1508.52,165921872
