Date,Open,High,Low,Close,Adj Close,Volume
2016-05-03,73.910400,74.266212,73.269928,73.682678,65.226097,4512005
2016-05-04,72.714851,73.469185,72.487129,73.141830,64.747337,4353637
2016-05-05,73.568810,73.981560,72.159775,72.373268,64.066971,3390503
2016-05-06,72.230942,72.942574,72.159775,72.814484,64.457558,2992124
2016-05-09,72.657921,72.800247,72.145546,72.359032,64.054359,2779164
2016-05-10,73.198761,73.583046,72.686386,73.355324,64.936302,2232184
2016-05-11,73.526115,73.725372,72.757553,72.942574,64.570946,2531916
2016-05-12,73.953094,74.123886,72.871414,73.355324,64.936302,3405328
2016-05-13,73.241463,73.454948,71.704330,71.946289,63.688992,3515778
2016-05-16,72.060150,73.483414,72.017448,73.440720,65.011894,3615688
2016-05-17,73.212997,74.223518,73.127602,73.312622,64.898506,3802090
2016-05-18,72.914108,73.625748,71.860893,72.316338,64.016579,3676675
2016-05-19,71.661629,72.273636,71.177719,72.259407,63.966175,4492683
2016-05-20,72.629456,73.625748,72.515594,73.099136,64.709526,3856402
2016-05-23,72.956810,74.807060,72.828712,74.380074,65.843452,5571186
2016-05-24,74.764359,75.305199,74.664734,75.177109,66.549019,4818482
2016-05-25,75.305199,76.159164,75.191338,75.234039,66.599411,6881057
2016-05-26,75.518692,75.589859,73.867699,73.995796,65.503281,3591589
2016-05-27,73.625748,74.493942,73.540344,74.266212,65.742676,3365701
2016-05-31,74.180817,74.251984,72.714851,73.099136,64.709526,5195853
2016-06-01,72.686386,73.583046,72.060150,73.412254,64.986717,3569246
2016-06-02,73.312622,74.365845,72.700623,74.351608,65.818268,5590859
2016-06-03,74.465469,75.789116,74.209282,75.661018,66.977386,6797376
2016-06-06,75.860275,76.685776,75.831810,76.329956,67.569550,6554836
2016-06-07,76.586143,76.671539,76.329956,76.429588,67.657745,4730305
2016-06-08,76.486519,76.614609,76.016838,76.401123,67.632545,7371547
2016-06-09,75.789116,76.401123,75.290970,76.273026,67.519142,4490997
2016-06-10,75.931442,76.415352,75.604088,75.974136,67.254578,5219812
2016-06-13,75.461761,75.902977,74.863991,74.992081,66.385231,3874318
2016-06-14,74.863991,75.120178,73.540344,74.195053,65.679665,5352042
2016-06-15,74.180817,74.550873,73.597282,73.810768,65.339500,4510108
2016-06-16,73.511887,74.380074,73.013741,74.280449,65.755272,5077323
2016-06-17,74.308914,75.347900,74.123886,75.333672,66.687622,5888413
2016-06-20,75.860275,76.771172,75.532928,75.532928,66.863991,6699644
2016-06-21,75.774879,76.187630,75.490227,75.817581,67.115990,4483690
2016-06-22,75.974136,76.273026,75.646790,75.746414,67.052986,3485495
2016-06-23,76.500748,76.771172,76.144936,76.401123,67.632545,5340309
